Referanslar	PlakaKalýnlýðý	PlakaAðýrlýðý	Plaka Yüksekliði
EX-12P0418=2002619	1.65	118	100
EX-12P0534=2003062	1.91	134	100
EX-12P0526=2003770TBLS	1.75	126	100
EX-12P0312=2006320TBLS	1.54	112	100
EX-12P0324=2005242TBLS	1.75	124	100
EX-12P0414=2007539	1.6	114	100
EX-12P0530=2007538	1.88	130	100
EX-12P0526=2007537TBLS	1.8	126	100
EX-12P0308=2007617TBLS	1.51	108	100
EX-12P0321=2007619TBLS	1.73	121	100
EX-12P5325=2002288	1.48	125	115
EX-12P5343=2002289	1.75	143	115
EX-12P5343=2005251HYUNDAI	1.75	143	115
EX-12P5454=2002293	1.84	154	115
EX-12P5447=2006377	1.74	147	115
EX-12P5328=2006373	1.55	128	115
EX-12P5338=2007325	1.67	138	115
EX-12P5338=2007711HYUNDAI	1.67	138	115
EX-12P5321=2007540	1.46	121	115
EX-12P5338=2007544HYUNDAI	1.71	138	115
EX-12P5449=2007547	1.81	149	115
EX-12P5442=2007543	1.71	142	115
EX-12P5324=2007542	1.52	124	115
EX-12P5333=2007546HYUNDAI	1.64	133	115
EX-03N0309=2002620	1.45	109	100
EX-03N0312=2002621	1.55	112	100
EX-03N0524=2002622	1.7	124	100
EX-03N0304=2007621	1.42	104	100
EX-03N0307=2007622	1.49	107	100
EX-03N0519=2007623	1.67	119	100
COM-03N0202=2004185	1.39	102	100
COM-03N0308=2004183	1.48	108	100
COM-03N0417=2004182	1.63	117	100
COM-03N0414=2005723S&S	1.53	114	100
COM-03N0427=2005683S&S	1.74	127	100
EX-03N5321=2001478	1.4	121	115
EX-03N5321=2007719HYUNDAI	1.4	121	115
EX-03N5321=2005173S&S	1.4	121	115
EX-03N5341=2001479	1.7	141	115
EX-03N5341=2005174S&S	1.7	141	115
EX-03N5447=2001977	1.7	147	115
EX-03N5317=2007597	1.37	117	115
EX-03N5317=2007600S&S	1.37	117	115
EX-03N5337=2007598	1.65	137	115
EX-03N5337=2007601S&S	1.65	137	115
EX-03N5443=2007599	1.68	143	115
COM-03N5313=2005286	1.33	113	100
COM-03N5313=2007322S&S-TOFAÞ	1.33	113	100
COM-03N5313=2006479S&S-HYUNDAI	1.33	113	100
COM-03N5333=2005274	1.6	133	100
COM-03N5338=2005278	1.62	138	100
COM-03N5331=2007327S&S	1.58	131	100
COM-03N5331=2007712S&S-HYUNDAI	1.58	131	100
COM-03N5327=2005722S&S	1.47	127	100
COM-03N5321=2006376	1.46	121	100
COM-03N5306=2007384PSA	1.3	106	100
COM-03N3507=2006380JAPON	1.66	107	100
COM-03N3567=2004186	1.83	167	100
COM-03N3584=2007603	2.06	184	100
COM-03N3300=2006381JAPON	1.47	100	100
